market_constraint,dayzer_constraint,dayzer_score,dayzer_confidence,pano_constraint,pano_score,pano_confidence
PIPECREE138 KV  MUL-PIP1 | L765.DUMONT-SORENSON,PIPECREE_138 KV_PIP-STR:L765.Dumont-Sorenson,79.06976744186046,low,PIPECREE138 KV  MUL-PIP1 | L765.Dumont-Sorenson,100.0,high
MILLWDPL230 KV  MIL-SAK | L500.CONASTONE-PEACHBOTTOM.5012,MILLWDPL_230 KV_MIL-SAK:L500.Conastone-PeachBottom.5012,89.7196261682243,medium,SAKRON 230KV - MILLWDPL 230KV (MILLWDPL 230 KV MIL-SAK) | L500.Conastone-PeachBottom.5012,85.96491228070175,medium
WMOULTON 69 KV WMOULTON-09ST_MRY | ACTUAL,WMOULTON_69 KV_WMO-09S1:ACTUAL,89.65517241379311,medium,WMOULTON 69KV - 09ST_MRY 69KV (WMOULTON 69 KV WMO-09S1) | L345.Gristmill-Shelby,86.27450980392157,medium
LAFAYETTE 138/230 KV TR1 L/O LAFAYETTE 138/230 TR4 | LAFAYETTE 138/230 KV TR4,08LAFYTE_230 KV_1P:230/138.Lafayette.T4(Cinergy),79.3103448275862,low,08LAFYTE 138KV - 08LAFYTE 1KV (08LAFYTE 138 KV 1S) | Lafayette 138/230 kV TR4,79.3103448275862,low
AP SOUTH REACTIVE TRANSFER INTERFACE | ACTUAL,NY TRANSFER INTERFACE,92.3076923076923,high,TRANSFER INTERFACE: ATSI | BASE,78.26086956521739,low
CANYON  230 KV  CAN-EAS | ACTUAL,CANYON_230 KV_CAN-EAS:ACTUAL,100.0,high,ETOWANDA 230KV - CANYON 230KV (CANYON 230 KV CAN-EAS) | BASE,85.1063829787234,medium
BEDINGTO_T1_500TRAN2_XF | L500.BEDINGTON-DOUBS,BEDINGTO_500 KV_TRAN 1:L500.Bedington-Doubs,86.04651162790698,medium,BEDINGTO 500KV - BEDINGTO 138KV (BEDINGTO 500 KV TRAN  2) | L500.Bedington-Doubs,80.43478260869566,medium
TRENTON2138 KV  TRE-COL1 | L765.MARYSVILLE-SORENSON,TRENTON2_138 KV_TRE-COL1:L765.Marysville-Sorenson,88.42105263157895,medium,COLLEGEC 138KV - TRENTON2 138KV (TRENTON2 138 KV TRE-COL1) | L765.Marysville-Sorenson,82.5,medium
BIGPINET_138KVBIG-KIS_1_LN | L138.KITTANNING-ALLDAM6,BIGPINET_138 KV_BIG-KIS:L138.Kittanning-AllDam6 + Seneca 1,93.45794392523365,high,KISKIVAL 138KV - BIGPINET 138KV (BIGPINET 138 KV BIG-KIS) | L138.Kittanning-AllDam6 + Seneca 1,87.93103448275862,medium
LINE 230 KV CEDARGRO-ROSELAND CED-ROSY | ACTUAL,CEDARGRO_230 KV_CED-JAC:ACTUAL,92.5925925925926,high,CEDARGRO-ROSELAND CED-ROSY  A  230 KV | L230.CedarGrove-Roseland.F-2206,84.21052631578948,medium
NORTH PORT - ALBIONIM L/O ROBISON PARK 345/138 T5 XF | 345/138.ROBISONPARK.T5,ALBIONIM_138 KV_ALB-NOR1:345/138.RobisonPark.T5,80.51948051948052,medium,NORTHPOR 138KV - ALBIONIM 138KV (ALBIONIM 138 KV ALB-NOR1) | Robison Park 345/138 T5 XF,77.68595041322314,low
GLENBROO69 KV   GLE-KOON | ACTUAL,GLENBROO_69 KV_GLE-KOON:ACTUAL,84.21052631578948,medium,KOONSVIL 69KV - GLENBROO 69KV (GLENBROO 69 KV GLE-KOON) | BASE,65.625,weak
CRESCENT RIDGE - 7713 138 L/O KEWANEE EAST - BUREAU | L138.KEWANEEEAST-BUREAU (AMEREN),CRBN_138 KV_CRB-CRES:L138.KewaneeEast-Bureau (Ameren),75.0,low,Crescent Ridge - 7713 138 l/o Kewanee East - Bureau | L138.KewaneeEast-Bureau (Ameren),100.0,high
